Net:-2.67814440337, Trade:3.94592940754, Cost:6.6240738109, Avg:-0.0214251552269 Std:0.0437130820867 Trades/Day:50.688, et:2, leb:2, bs:8, ueb:6,
Net:-2.67814440337, Trade:3.94592940754, Cost:6.6240738109, Avg:-0.0214251552269 Std:0.0437130820867 Trades/Day:50.688, et:2, leb:2, bs:9, ueb:6,
Net:-7.60842958817, Trade:3.68822747631, Cost:11.2966570645, Avg:-0.0608674367053 Std:0.059452159019 Trades/Day:155.152, et:0, leb:2, bs:1, ueb:7,
Net:-4.62146663203, Trade:4.6004058365, Cost:9.22187246854, Avg:-0.0369717330563 Std:0.0499461068963 Trades/Day:109.576, et:0, leb:2, bs:2, ueb:7,
Net:-3.57877399046, Trade:4.25050801787, Cost:7.82928200833, Avg:-0.0286301919237 Std:0.0455603106604 Trades/Day:78.4, et:0, leb:2, bs:3, ueb:7,
Net:-2.90284873531, Trade:4.17952940017, Cost:7.08237813547, Avg:-0.0232227898825 Std:0.0446846485641 Trades/Day:61.36, et:0, leb:2, bs:4, ueb:7,
Net:-2.7827290991, Trade:4.01826515763, Cost:6.80099425673, Avg:-0.0222618327928 Std:0.0451704239222 Trades/Day:54.296, et:0, leb:2, bs:5, ueb:7,
Net:-2.76074117364, Trade:3.95082882399, Cost:6.71156999764, Avg:-0.0220859293891 Std:0.0447472911623 Trades/Day:52.16, et:0, leb:2, bs:6, ueb:7,
Net:-2.74265633152, Trade:3.94324094653, Cost:6.68589727805, Avg:-0.0219412506521 Std:0.0448328544293 Trades/Day:51.44, et:0, leb:2, bs:7, ueb:7,
Net:-2.72694409694, Trade:3.9457015749, Cost:6.67264567183, Avg:-0.0218155527755 Std:0.0448942902264 Trades/Day:51.144, et:0, leb:2, bs:8, ueb:7,
Net:-2.7376776517, Trade:3.93316982015, Cost:6.67084747185, Avg:-0.0219014212136 Std:0.0449273694039 Trades/Day:51.072, et:0, leb:2, bs:9, ueb:7,
Net:-5.8687303213, Trade:4.27433004707, Cost:10.1430603684, Avg:-0.0469498425704 Std:0.0548738357795 Trades/Day:129.336, et:1, leb:2, bs:1, ueb:7,
Net:-3.05753146654, Trade:4.35243175495, Cost:7.40996322149, Avg:-0.0244602517323 Std:0.0477663994838 Trades/Day:67.936, et:1, leb:2, bs:2, ueb:7,
Net:-2.73938751041, Trade:4.03840643277, Cost:6.77779394318, Avg:-0.0219151000833 Std:0.0451509086771 Trades/Day:53.504, et:1, leb:2, bs:3, ueb:7,
Net:-2.72391580219, Trade:3.9552254345, Cost:6.67914123669, Avg:-0.0217913264175 Std:0.0450655089377 Trades/Day:51.32, et:1, leb:2, bs:4, ueb:7,
Net:-2.73193342596, Trade:3.93872507388, Cost:6.67065849984, Avg:-0.0218554674076 Std:0.0449075368713 Trades/Day:51.088, et:1, leb:2, bs:5, ueb:7,
Net:-2.73637329421, Trade:3.93428520376, Cost:6.67065849797, Avg:-0.0218909863537 Std:0.0449404770985 Trades/Day:51.056, et:1, leb:2, bs:6, ueb:7,
Net:-2.73775768446, Trade:3.93290081284, Cost:6.6706584973, Avg:-0.0219020614757 Std:0.0449401841802 Trades/Day:51.056, et:1, leb:2, bs:7, ueb:7,
Net:-2.73636568518, Trade:3.93290552785, Cost:6.66927121303, Avg:-0.0218909254815 Std:0.0449404796436 Trades/Day:51.04, et:1, leb:2, bs:8, ueb:7,
Net:-2.73636568518, Trade:3.93290552785, Cost:6.66927121303, Avg:-0.0218909254815 Std:0.0449404796436 Trades/Day:51.04, et:1, leb:2, bs:9, ueb:7,
Net:-2.7179305392, Trade:3.97642930282, Cost:6.69435984202, Avg:-0.0217434443136 Std:0.0445022757019 Trades/Day:51.752, et:2, leb:2, bs:1, ueb:7,
